site_id,locality,postalCode,state,operatorId,operatorName,lon,lat,total_num_pois,num_fast_food,num_fuel_stations,num_supermarkets,closest_category,has_toilet,has_wifi,has_seating,open_24hr,tags.brand
YJUcq5GFnhLeCq9TE5qk9W8Gh4w8K28FkuQnK7cFS9I,Hamburg,22765,Hamburg,DEEZE,eze.network GmbH,9.93347,53.55334,5,2.0,0.0,3.0,supermarket,False,False,False,False,Edeka
YJUcq5GFnhLeCq9TE5qk9W8Gh4w8K28FkuQnK7cFS9I,Hamburg,22765,Hamburg,DEEZE,eze.network GmbH,9.93347,53.55334,5,2.0,0.0,3.0,supermarket,False,False,False,False,Alnatura
YJUcq5GFnhLeCq9TE5qk9W8Gh4w8K28FkuQnK7cFS9I,Hamburg,22765,Hamburg,DEEZE,eze.network GmbH,9.93347,53.55334,5,2.0,0.0,3.0,supermarket,False,False,False,False,Aldi Nord
YKhb3GYbFFuWel8EGiSzJviOPJ2V3CFzQtM5oBVkbZ8,Hamburg,22337,Hamburg,DEHHM,Hamburger Energiewerke,10.05822,53.62929,0,0.0,0.0,0.0,,,,,,
YM8dMRnwTL-Yp36SpWIH5sUc4hd4mSIymlaiDo5Liv8,Hamburg,21079,Hamburg,DEDES,Total Energies,9.990082,53.452891,0,0.0,0.0,0.0,,,,,,
YNSt9EhSXYrnszTBDzdDun3zPzB-DtIX84mYFdAfMGA,Hamburg,22459,Hamburg,DESNH,Stromnetz Hamburg GmbH,9.95122,53.61896,0,0.0,0.0,0.0,,,,,,
YNf6szEn8PIiHQEZaIL47VGqAyDQqCsM25AIlWMOSgM,Hamburg,21035,Hamburg,DEEZE,eze.network GmbH,10.19404,53.48591,0,0.0,0.0,0.0,,,,,,
YNqhsKzjWUOzZcCgI0uQx5oaz3lqdnKFF8TyblyWkVQ,Hamburg,20144,Hamburg,DEHHM,Hamburger Energiewerke,9.98231,53.57921,0,0.0,0.0,0.0,,,,,,
YRuX-63Toc7zRMFlcuNohWsNFOXLwpvlujJ-JwChf5w,Hamburg,20251,Hamburg,DEAPC,E.ON Drive,9.977169,53.589613,0,0.0,0.0,0.0,,,,,,
YSRqzCHMCZTgQYB5WiNqzIIHpoWix4mEHt_tp12gyC8,Hamburg,20249,Hamburg,DEHHM,Hamburger Energiewerke,9.996298,53.580799,0,0.0,0.0,0.0,,,,,,
YXRSKZRNT93RLNi6pd1V3isZflTJ4BzCUyOifvbUdtI,Hamburg,22299,Hamburg,DEHHM,Hamburger Energiewerke,9.99678,53.598445,2,1.0,0.0,1.0,supermarket,False,False,False,False,
YXRSKZRNT93RLNi6pd1V3isZflTJ4BzCUyOifvbUdtI,Hamburg,22299,Hamburg,DEHHM,Hamburger Energiewerke,9.99678,53.598445,2,1.0,0.0,1.0,supermarket,False,False,False,False,PENNY
