id,locality,postalCode,state,streetAddress,geoCoordinates,operatorId,operatorName
RKs_VucV83LOnATFL_qMa9C2bXs83OVZwRYNUb8MA8g,Hamburg,22529,Hamburg,Gazellenkamp 40,"[9.950037,53.59951]",DEHHM,Hamburger Energiewerke
RP1DI2Rc3L3dPAQqzdojHXZSYLHvlKi9JEloa4vPTS0,Hamburg,22047,Hamburg,Friedrich-Ebert-Damm 120,"[10.094793,53.587033]",DEDES,Total Energies
RTvhqRnqfbmf0Z3yc71oPgGv_C7rAGLm7aTUlIg9eng,Hamburg,20259,Hamburg,Von-der-Tann-Straße 12,"[9.96071,53.571906]",DEHHM,Hamburger Energiewerke
RUKGT9t_61UdPFUK_1DdjzZK7lWTN0zHYwT56jvGeCQ,Hamburg,22335,Hamburg,LH Basis G152,"[9.992912,53.622096]",DEVAT,Vattenfall
RV_sPNixLifT0QWOoOE7My81Z9Vmm7JTOuP5bhN_Gy0,Hamburg,22111,Hamburg,Am Schiffbeker Berg 26,"[10.095348,53.541229]",DEHHM,Hamburger Energiewerke
Ra_D9bWJrjPzDDhm809lIqhoCvyirqDlZWC-A_LudFk,Hamburg,20251,Hamburg,Erikastraße 53,"[9.986965,53.593711]",DE199,NWG Charging GmbH
Raf7PVD6m3hJzW5eazPJDHXVD8VSJ55DiDTFYdstdP4,Hamburg,20251,Hamburg,Eppendorfer Weg 210,"[9.97385,53.5825]",DEHHM,Hamburger Energiewerke
RblpFpNpmQmqCdrLLo4c0kOTORQh2TVam40M08W2uOY,Hamburg,22525,Hamburg,31 Große Bahnstraße,"[9.937604,53.574215]",DEGFX,GreenFlux Assets B.V.
RcF-UGai21lUXV1QICRAL-nLG_56K_HLYcx35dd45mI,Hamburg,22339,Hamburg,Am Hehsel 38,"[10.05847,53.64583]",DEWLN,Wirelane
ReIHwjD6MLNhqFGY_tibwXKyF-g3yuKaocRq9aOE7ks,Hamburg,21073,Hamburg,Wallgraben 46,"[9.97891,53.46371]",DEHHM,Hamburger Energiewerke
RgB4EPqzIvwb2TwHrT-vzf7emwFiTtnf3NgkK351By0,Hamburg,20099,Hamburg,Schmilinskystraße 32,"[10.012882,53.559021]",DEHHM,Hamburger Energiewerke
Rp7BXiM4jidMqnPrjTJXm-g_YOsFJ0wgTAK1fUUtwa0,Hamburg,20457,Hamburg,Am Kaiserkai 46,"[9.987508,53.541453]",DEHHM,Hamburger Energiewerke
RuV5VjlsJBHjsWSvLnn87D5wEir_560vrMqPYGIsTgo,Hamburg,20095,Hamburg,Rosenstraße 6,"[10.001236,53.552972]",DEVAT,Vattenfall
RuVYpXwpXyfiQnrwacD2EKTueBdcfgBGXI1mnQysfMk,Hamburg,20144,Hamburg,Kielortallee 2,"[9.97605,53.57063]",DEHHM,Hamburger Energiewerke
RuruSgyjNr5zGNJWSWPbL6CdL2z2Zpw1L84bFLUV8pE,Hamburg,20357,Hamburg,Marktstraße 100,"[9.969825,53.558229]",DEHHM,Hamburger Energiewerke
S-8fwBXBZYQ6O8M2EC9qSlv1V4VxE1hdWxIBBMG1FHM,Hamburg,21149,Hamburg,Neugrabener Bahnhofstraße 12,"[9.8541,53.47095]",DEEZE,eze.network GmbH
S-z9bc4N96HstXIxMtxc8jgvF2W3Ei7Bhl3ZZ9hX7ao,Hamburg,20146,Hamburg,Hartungstraße 7,"[9.98677,53.57024]",DEEZE,eze.network GmbH
S0N_Avv9LmZ63ZGa5L00ENDx2XYsVqumbplGQwRIGgs,Hamburg,21129,Hamburg,Aue-Insel 5,"[9.885199,53.53173]",DEHHM,Hamburger Energiewerke
S2rtqNlHASMn5DRyc_0EQ_7HLLTh4h6Kz4TWaPEBzRY,Hamburg,22587,Hamburg,Hasenhöhe 10,"[9.820375,53.562307]",DEHHM,Hamburger Energiewerke
S4fT8zu1Zu49izuNeieJPg-nD6rgi2jVWE16wAI607M,Hamburg,22765,Hamburg,Harkortstraße 26,"[9.93688,53.55651]",DEEZE,eze.network GmbH
S86A0MrZ0WUMo7BU00umfTw3Av2y-DpSIlbWxJtNTac,Hamburg,22085,Hamburg,Winterhuder Weg 42,"[10.024547,53.572552]",DEHHM,Hamburger Energiewerke
SDE96rN-q1qxR6sw_JZjLyjYvku2JV3_ze5M809vqM8,Hamburg,21129,Hamburg,Ostfrieslandstraße 97,"[9.88662,53.52679]",DEJEG,Jolt Energy
SGzQq4WCx89gZA4U_O785FQgtZ8aFUe7n2UumjXw-Ng,Hamburg,22765,Hamburg,Bahrenfelder Straße 247,"[9.928141,53.557365]",DEHHM,Hamburger Energiewerke
SObqE7vNehjRy3nApUqXnaf1YxU5oNrXAYwHEHgY0-0,Hamburg,22605,Hamburg,Liebermannstraße 41,"[9.89764,53.55071]",DEHHM,Hamburger Energiewerke
ST-UnmGtVL440LiAob2Gxh6E36nefANPc_QAIJPNMIw,Hamburg,21029,Hamburg,Soltaustraße 4A,"[10.218778,53.483519]",DESNH,Stromnetz Hamburg GmbH
SUDG4UjgY6oK_2QjfCZH_fiy7u3mqGLOYVgiz1Py9pI,Hamburg,22529,Hamburg,Hamburg Heinrich-Kock-Weg Nr. 2,"[9.971542,53.594757]",DEGUE,Liikennevirta Oy (CPO)
SYwDFXrKSPDBwavQHO0bc-17V_bn8actYkOlIC7dm7M,Hamburg,20097,Hamburg,Auf der Brandshofer Schleuse 4,"[10.017453,53.542813]",DE199,NWG Charging GmbH
SeKob5a51yjbA1sg2S6GK-Df84sFFOIv2gbvqJ2bgGQ,Hamburg,22415,Hamburg,Beim Schäferhof 9,"[10.01418,53.64325]",DEHHM,Hamburger Energiewerke
SfGPA2E399PnGdHt8D2ySgAXtJjK4V1Oy7H_3tFo3QY,Hamburg,21147,Hamburg,Twistering 28,"[9.87947,53.47673]",DEHHM,Hamburger Energiewerke
Sj_nFvjxN0o9AWTfb2QkX4CNG_nVbZybEc5i_-Ixz7k,Hamburg,20251,Hamburg,Christoph-Probst-Weg 28,"[9.976142,53.596789]",DEHHM,Hamburger Energiewerke
SkWHmBkK7fFkQjlEJKK4gxGoKw64QTiuwzWPNDNsRig,Hamburg,20459,Hamburg,Venusberg 34,"[9.973986,53.546886]",DEHHM,Hamburger Energiewerke
SkvpK1llcEyWfAVI9sd5mkYmEQUCwr7Lceyu3o8wK4s,Hamburg,22607,Hamburg,Osdorfer Landstraße 25,"[9.872,53.5706]",DEBPE,Aral Pulse
SohdVzPPeKSxlI_KU2lkSgVdOIgqclPjp6In8LygdbM,Hamburg,22419,Hamburg,Stockflethweg 30,"[10.003393,53.679055]",DEPOW,MOON POWER GmbH
SqZWdMMsCtPr_Jq9CJjm-0KmxA-fejZywOIwLZJP9fE,Hamburg,21029,Hamburg,Bergedorfer Schloßstraße 10,"[10.213981,53.48816]",DEHHM,Hamburger Energiewerke
Sxla76BBaFr0STSesyi-BPquAGvOMNbhIIEpbSv_FuE,Hamburg,21073,Hamburg,Am Irrgarten 8,"[9.97179,53.46023]",DEHHM,Hamburger Energiewerke
T0Xe13PYlP16EBqhIWkNcmTUXWb4r1lJDt0NuLusmtU,Hamburg,20354,Hamburg,Dammtorwall 1,"[9.98816,53.55762]",DEEZE,eze.network GmbH
